lat,lon,year,subregion,country,cause,route,origin,toll
31.650259,-110.366453,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Guatemala,1
31.59713,-111.73756,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
31.94026,-113.01125,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
31.506777,-109.315632,2014,Norteamérica,United States of America,Violencia,Frontera EE.UU.-México,Mexico,1
32.45435,-113.18402,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
32.478317,-113.182833,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
31.81154,-111.01101,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
32.174017,-112.174583,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
32.40291,-113.02935,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Mexico,1
32.159,-112.919,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
32.481483,-111.654933,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
32.481683,-111.654933,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
26.116,-80.0,2014,Caribe,United States of America,Ahogamiento,Caribe hacia EE.UU.,Haiti,1
31.8054,-111.854867,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
31.992833,-111.385833,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
32.17305,-112.20211,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
32.00768,-112.1726,2014,Norteamérica,United States of America,Mixta o desconocida,Frontera EE.UU.-México,Desconocido,1
32.587899,-116.850999,2014,Norteamérica,United States of America,Violencia,Frontera EE.UU.-México,Mexico,1
